id,title,description,body,url,posted,visible,page_id
2,Top 5 Reasons to See Your Urologist – For Men,Top 5 Reasons to See Your Urologist – For Men,"<p>
	Your urinary and genital tract health is important and should be monitored accordingly. Unfortunately, patients often overlook or dismiss symptoms that may hint at underlying conditions that might be serious.</p>
<p>
	I know it is easy to put off seeing the doctor, but avoiding your urologist could mean delaying or preventing treatment that may prove life saving. Knowing when to schedule an appointment with your urologist is paramount to early treatment and care.</p>
<p>
	Need more persuasion? Below are five instances that necessitate an appointment.</p>
<ol>
	<li>
		<strong>Abnormal PSA test</strong>: A PSA test screens for prostate cancer by measuring the level of prostate-specific antigen (PSA) in the blood. Because prostate cancer is the second most common cause of cancer death in men in the U.S., an abnormal or elevated PSA test should receive immediate follow-up.</li>
	<li>
		<strong>Hematuria</strong>: Hematuria is a fancy word for the presence of blood in urine. Hematuria can be caused by a number of potentially serious conditions including bladder cancer, kidney cancer, urinary tract infections and stones. Consult your urologist if you discover blood in your urine.</li>
	<li>
		<strong>Kidney stones</strong>: A key symptom of kidney stones is severe pain in the lower stomach, side of the back, groin or testicles. Left untreated, stones can wreak havoc on the kidneys and cause permanent, lasting damage. Remember, one of the biggest risk factors for kidney stones is inadequate fluid intake. Increasing the amount of water you drink could help reduce their occurrence.</li>
	<li>
		<strong>Enlarged prostate</strong>: As men age, their prostates tend to grow larger. If the prostate grows too large it puts pressure on the urethra and can obstruct urine flow. This condition is called benign prostatic hyperplasia (BPH). BPH can cause many symptoms including an urge to urinate often, weak urine flow and pain in the lower back, pelvis or thighs.</li>
	<li>
		<strong>Vasectomy</strong>: A vasectomy is a surgical procedure that involves the sealing or cutting of the vas deferens from each testicle to prevent sperm from mixing with semen. It is considered a permanent form of birth control, and therefore should not be approached lightly. Your urologist can provide expert advice on what to expect as well as perform the procedure.</li>
</ol>
<p>
	These conditions and procedures are only a few of the many reasons patients visit a urologist. If you have any concerns regarding your urinary or genital tract health, it might be time to schedule an appointment.</p>
",2012/03/09/another-blog-post,2012-05-05 14:50:29,1,51
4,Standing Firm on Value of PSA Test,"PSA testing position
","<p>
	To say we are disappointed in a decision by the U.S. Preventive Services Task Force to recommend against use of the prostate-specific antigen (PSA) test for cancer screening is an understatement. Data continues to confirm that early testing for prostate cancer, in particular the use of the PSA test, has contributed to the decline in death rates from prostate cancer by nearly 40 percent over the last two decades.</p>
<p>
	Oddly, the task force did not include any physician who treats prostate cancer and chose to ignore credible data from recent studies when they issued their recommendation. The Urology Group has treated thousands of patients with prostate cancer and we know for a fact that early detection is the key.</p>
<p>
	Here are some prostate cancer facts for patients and families to consider:</p>
<ul>
	<li>
		Prostate cancer is the second leading cause of death in American men, second only to lung cancer.</li>
	<li>
		One in six men will get prostate cancer at some point and nearly 30,000 men will die from the disease this year.</li>
	<li>
		One in 12,000 men under age 40 will be diagnosed.</li>
	<li>
		African American men carry the highest burden of prostate cancer in the U.S. with an incidence rate 60% higher. They are two-and-a-half times more likely to die from the disease than men of any other ethnic group.</li>
</ul>
<p>
	We feel so strongly that screening is key to survival that we have launched a community awareness program in the Greater Cincinnati area. For information on free prostate cancer screenings I encourage you to visit <a href=""http://www.freeprostatecincy.com"" target=""_blank"">www.freeprostatecincy.com</a>. If you&rsquo;d like to support additional research consider joining us for our annual <a href=""http://theurologygroup.dev.websprockets.com/education-and-events/great-prostate-challenge/"">Great Prostate Cancer Challenge 5K Run/Walk</a> on Saturday, September 8. You&rsquo;ll find more information in Education/Events section of our website.</p>
<p>
	My advice to all men 50 and older&mdash;or to men who are 40 and are African American or have a family history of prostate cancer&mdash;is to make a prostate exam a part of your annual checkup. We know screening works and will continue to be an advocate for the PSA test despite what a government panel believes.&nbsp;</p>
",2012/05/23/standing-firm-on-value-of-psa-test,2012-05-23 14:37:55,1,65
5,Vasectomy? Three things to ask yourself first,Vasectomy decision,"<p>
	The question of &quot;Am I ready for a vasectomy?&quot; is becoming more and more frequent among men these days, but the answer still requires some thought.</p>
<p>
	Not that the procedure is new. Vasectomies have been regarded as a method of birth control for roughly 70 years &ndash; since the second World War. Yet for many of those decades, the procedure was used sparingly; many men were uncomfortable with the idea of elective surgery in general and of surgery on their sexual organs in particular.</p>
<p>
	But today, vasectomies are much more mainstream &ndash; a story in <a href=""http://yourlife.usatoday.com/health/healthyperspective/post/2012-03-15/vasectomy-madness-promoted-by-urologists-during-ncca-tournament/649151/1""><em>USA Today</em></a> even reported a spike in vasectomies during March Madness, as men timed the procedure so they could get several days off to sit on the couch to watch the games.</p>
<p>
	Clearly more men are becoming comfortable with the procedure as education about vasectomies is more widely available. Most notable, a vasectomy is a far less invasive operation than tubal ligation is for women.</p>
<p>
	Still, the procedure has long-term results, and there are still a lot of misconceptions. If you are considering a vasectomy, there are three key questions you should have answered:</p>
<ol>
	<li>
		<strong>Do I want any more children?</strong> Make no mistake, vasectomies are considered a permanent and irreversible method of birth control. And while there is a procedure, called a vasovasostomy, that might restore fertility afterward, you should never plan a vasectomy with this later option in mind. Wait.<br />
		&nbsp;</li>
	<li>
		<strong>Will it affect my sexual performance or libido?</strong> Many men fear that a vasectomy will hinder sexual performance or drive, but this is simply not the case. In a vasectomy, the two vas deferens are cut to prevent sperm from traveling from the testes to the penis. Nothing in the procedure affects physical sexual performance, and you should still experience an erection and ejaculation. In fact, the testicles continue to produce sperm, but your body absorbs the sperm.<br />
		&nbsp;</li>
	<li>
		<strong>Is sterilization immediate?</strong> No. It usually takes a few months before sterility is complete, and 15 to 20 ejaculations are required to clear viable sperm from the reproductive system. You should use birth control until your physician determines you are completely sterile.</li>
</ol>
<p>
	A vasectomy is a safe, fast procedure with fewer side effects than tubal ligation. That said, there may be minor complications, including sperm granuloma (a lump caused by leaking sperm where the vas deferens is tied off) and sperm build up or congestion. But these potential side effects occur only in the first few months after the procedure.</p>
<p>
	Which is why timing also is a major consideration. Whether you want to schedule a vasectomy before March Madness or in the middle of summer, be sure to get a thorough consultation with your physician first.</p>
",2012/06/06/vasectomy-three-things-to-ask-yourself-first,2012-06-06 13:17:18,1,62
6,"Your PSA is Elevated, What Happens Next?","When it comes to maintaining your good health, fewer things in life promise better odds than preventive care.","<p>
	When it comes to maintaining your good health, fewer things in life promise better odds than preventive care. So what happens next if you&rsquo;ve dutifully gotten your PSA screening, only to learn that your PSA levels are elevated?</p>
<p>
	Though members of a recent U.S. Preventive Services Task Force might argue that you shouldn&rsquo;t even have been tested, I believe your follow-up care remains as important as the initial testing.</p>
<p>
	It&rsquo;s important to understand that a high PSA test doesn&rsquo;t always signal prostate problems. You might be surprised to learn that your PSA levels can fluctuate throughout the month. Because of this natural change, your doctor will likely (and really should) perform another PSA test about four to six weeks after the initial test. The time frame allows the body&rsquo;s PSA levels to normalize, resulting in a more accurate test.</p>
<p>
	If the levels are still high after the second test, your doctor might recommend a digital rectal exam that screens for structural abnormalities in the prostate. Your doctor will then read the images and consider other signs and symptoms to determine if a biopsy is necessary. Additional indicators of prostate cancer include difficulty urinating, decreased urine stream flow, blood in the urine and/or semen, swollen legs, pelvic discomfort and bone pain.</p>
<p>
	If your doctor decides a prostate biopsy is necessary, it&rsquo;s not necessarily cause for alarm. Most prostate biopsies are transrectal &mdash; a thin needle is inserted through the urethra in order to take multiple samples from the prostate glad. While I will admit that the procedure can be a bit uncomfortable, the discomfort is negligible when weighing the risks of unchecked cancer.</p>
<p>
	A high PSA doesn&#39;t always signify cancer, but following up after an elevated test is key for early detection and care. Don&#39;t gamble on your health, follow your doctor&#39;s advice and be sure to schedule a follow-up appointment.</p>
",2012/06/20/your-psa-is-elevated-what-happens-next-,2012-06-20 11:09:27,1,52
7,Botox Injections Not Just for Wrinkles – Drug Now Approved to Treat Urinary Incontinence,"Botox, the widely used wrinkle-removing injection, is now government-approved to treat urinary incontinence.","<p>
	Botox, the widely used wrinkle-removing injection<em>,</em> actually has a variety of medical uses: it&rsquo;s government-approved to treat chronic migraines, muscle problems, underarm sweating and a number of other conditions. Now add to that, urinary incontinence.</p>
<p>
	In 2011, the U.S. Food and Drug Administration (FDA) <a href=""http://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm269509.htm"" target=""_blank"">approved Botox</a>, or botulinum toxin, to treat incontinence in patients with neurological conditions like spinal cord injury and multiple sclerosis. Nerve damage from these and other conditions increase the risk for urinary incontinence. Patients often need medications to relax the bladder, as well as catheters to empty the bladder.&nbsp; Current studies are evaluating the use of Botox for patients with urinary incontinence that is not due to a neurologic condition.</p>
<p>
	How does Botox treat urinary incontinence? Botox helps urinary incontinence by relaxing the bladder, thus allowing it to store more urine. In some patients with neurological conditions, over activity in the bladder leads to an inability to store urine. By injecting Botox directly into the bladder to relax it, patients gain more muscle control and less incontinence.&nbsp;</p>
<p>
	Botox treatment involves injection of the drug into the bladder during cystoscopy. Cystoscopy is a medical procedure that lets a doctor see inside the bladder. It sometimes requires general anesthesia.</p>
<p>
	The FDA looked at two clinical trials involving 691 patients with incontinence due to spinal cord injury or multiple sclerosis. Those who received Botox had a significant reduction in weekly incontinence episodes, compared to a placebo group. The most common adverse effects were urinary tract infection and urinary retention.</p>
<p>
	Given that incontinence is difficult to manage &mdash; typically involving drugs to relax the bladder and the use of a catheter to empty it &mdash; Botox may give some patients another option. Based on clinical trials, one injection may help control incontinence for up to 10 months.</p>
",2012/07/05/botox-injections-not-just-for-wrinkles-drug-now-approved-to-treat-urinary-incontinence,2012-07-05 13:11:10,1,80
8,Pelvic floor weakness: Four myths,"Awareness is sometimes 90 percent of our understanding. Yet it is that remaining 10 percent, what we don't know, that colors our perceptions.","<p>
	Awareness is sometimes 90 percent of our understanding. Yet it is that remaining 10 percent, what we don&#39;t know, that colors our perceptions.&nbsp;</p>
<p>
	Consider pelvic floor weakness. Up until just a few years ago, many women never heard the term. But that does not mean the condition never existed, and thanks to medical attention and awareness campaigns, more women are seeking and getting treatment.</p>
<p>
	Pelvic floor weakness often results when the weight-bearing or stabilizing structures that keep the vagina and nearby organs in place weaken or deteriorate. Common causes include pregnancy, obesity, a hysterectomy or menopause.</p>
<p>
	These causes are pretty common, but the nature of the condition leads to many distressing misconceptions. So I decided to take on four of the biggest myths and dispel them.</p>
<ul>
	<li>
		<strong>Pelvic floor weakness occurs only in women who have had children:</strong> All women are susceptible and, for that matter, even men have pelvic floors and can experience pelvic floor spasm or pain. But it is true that women who have had children are more likely to experience pelvic floor weakness or prolapse.</li>
	<li>
		<strong>Caesarean section deliveries prevent pelvic floor weakness:</strong> This is not necessarily true, since the cause of pelvic floor weakness or prolapse is associated with the added weight and pressure of carrying a child to full term. The actual mode of delivery is not proven to be a component or contributing factor.</li>
	<li>
		<strong>There are no treatments: </strong>There are several was to treat pelvic floor weakness, both medically and holistically. Kegel exercises, for instance, may help to treat stress incontinence that results from pelvic floor weakness. If the patient suffers pelvic floor prolapse &ndash; usually a &quot;tear&quot; in the pelvic support resulting from pregnancy &ndash; surgery or a pessary device can help to remedy the condition. Also, despite alternative treatments, pelvic mesh is still used frequently across the country because of its theoretical durability.</li>
	<li>
		<strong>Your organs will &ldquo;fall out&rdquo;:</strong> One of the most worrisome symptoms of prolapse is that organs may fall out through the vagina. This is not the case. For instance, in bladder prolapse (cystocele), the back wall of the bladder may drop or bulge into (or even out of) the vagina, but the bladder will not fall out completely.</li>
</ul>
<p>
	To learn more about pelvic floor weakness, visit our <a href=""http://theurologygroup.net/conditions-we-treat/pelvic-floor-weakness/"">conditions page</a>, which includes causes, symptoms and treatments of various forms of pelvic floor prolapse and weakness.</p>
",2012/07/19/pelvic-floor-weakness-four-myths,2012-07-19 13:21:57,1,51
9,Prostate Cancer: Treatment v. Wait-and-See,One in six American men will get prostate cancer during their lifetime.,"<p>
	One in six American men will get prostate cancer during their lifetime. Thanks to early detection and proper treatment, most of those men will not suffer from this disease.</p>
<p>
	A man who is diagnosed with prostate cancer needs to work closely with his physician to understand precisely his condition and to make decisions about the course of treatment he needs to pursue.</p>
<p>
	Physicians at The Urology Group understand how overwhelming this process can be. We work very closely with our prostate cancer patients to help them understand their individual diagnosis, the treatment options best for them, and potential risks of various treatment approaches. Patients often meet with a variety of physicians in our Group to receive different perspectives on their treatment options.</p>
<p>
	There is a wide range of treatment options for men with prostate cancer, ranging from a wait-and-see approach, to radiation therapy (external beam radiation, or radiation implants called &ldquo;seeds&rdquo;), or surgery (today surgery to remove the prostate is usually done laparoscopically with a &ldquo;robot&rdquo;). &nbsp;Determining the course of treatment involves careful evaluation of many factors, including the patient&rsquo;s age, heath, the stage and aggressiveness of the cancer and, of course, the patient&rsquo;s preference. Particular attention needs to be given to quality of life considerations important to each patient.</p>
<p>
	It is very important that men visit their physician for regular prostate cancer screenings. &nbsp;Men over the age of 50 should receive testing annually. Men in high-risk groups (African Americans or those with a family history of prostate cancer) should be screened beginning at age 45. The prostate-specific antigen, or PSA, is a blood test that can help indicate the presence of prostate cancer. In fact, the PSA test typically produces a tumor diagnosis six to thirteen years earlier than a diagnosis based on clinical symptoms that occur.&nbsp; Early detection &ndash; combined with a proper course of treatment agreed upon by the physician and patient &ndash; has lead to the increased survival rate we are now seeing among men with prostate cancer.</p>
",2012/08/08/prostate-cancer-treatment-v-wait-and-see,2012-08-08 17:38:04,1,65
10,The 'Big O' Helps Lead the Fight for ZERO,Dr. Schwartz shares his experience at the Great Prostate Cancer Challenge 5k Run/Walk.,"<p>
	<img alt=""Ribbon Cutting"" src=""/Media/303/DSC_0190.jpg""></p>
<p>
	As a physician with The Urology Group my colleagues and I get first-hand experience at the toll prostate cancer (or any cancer for that matter) takes on a patient and his family and friends. We&rsquo;re proud that the physicians in our group focus on treating both the medical and the human side of these ugly diseases.</p>
<p>
	We are passionate about fighting prostate cancer and that passion showed last Saturday, September 8, at our 6th annual Great Prostate Cancer Challenge 5k Run/Walk event. As The Urology Group&rsquo;s Chairperson for the race I must admit I wasn&rsquo;t sure the event would even go on when I woke Saturday morning to thunder and rain. However, as the rain continued to pour, I couldn&rsquo;t believe the number of people who kept on coming. Volunteers, runners, walkers, family and friends. They just kept coming. In the end, a record-breaking 874 runners and walkers registered for the event &mdash; with nearly 150 of them actually making the choice to register that morning! I couldn&rsquo;t believe the support.</p>
<p>
	We delayed the race by 15 minutes to wait for the rain to subside and then, almost by miracle, the sun began to shine. The first runner returned in just over 17 minutes and then, one-by-one hundreds of others crossed the finish line. Although we&rsquo;re still tallying the numbers we know this year&rsquo;s event brought in more money to fight prostate cancer than ever before. ZERO &ndash; The End of Prostate Cancer (<a href=""http://zerocancer.org"">http://zerocancer.org</a>) is the national nonprofit that was the benefactor of our race and 33 others like it around the country. ZERO&rsquo;s goal is to raise more than $1mm in 2012. We&rsquo;re confident our race was a significant contributor toward the goal.</p>
<p>
	We&rsquo;re privileged that Oscar Robertson, NBA legend and a prostate cancer survivor himself, served as our Honorary Chair for the event. He was a tremendous asset in the weeks leading up to the race as we promoted it to the Cincinnati community. Just as importantly he did more than make an appearance on Saturday. He arrived early and very humbly used his great stature to help lift the tops of booth tents so rainwater could drain off. He then shared breakfast with several dozen fellow survivors (and Rob Williams of Fox 19) before making his way to the main stage.</p>
<p>
	The Urology Group shared a unique page in its history at this year&rsquo;s race by dedicating our new advanced surgery center. The new facility offers Ohio, Indiana and Kentucky residents some of the most progressive urologic care under one roof in the nation.</p>
<p>
	On behalf of Dr. Gary Kirsh, President of The Urology Group, Earl Walz, CEO, and Dr. Philip Buffington, Chief Medical Officer, I&rsquo;d like to thank the Greater Cincinnati community for supporting this important cause in men&rsquo;s health. Together we can improve the lives of men throughout the Tri-state who are fighting prostate cancer.</p>
",2012/09/10/the-big-o-helps-lead-the-fight-for-zero,2012-09-10 18:55:50,1,79
11,America comes to Cincinnati to relieve life's worst pain,"Many know Cincinnati as the birthplace of pro baseball and America’s chili capital. In the acquisition of highly specialized equipment for our new surgery center, The Urology Group is positioning the city for another exciting distinction -- national and ultimately international go-to destination for the treatment of kidney stones.","<p>
	Many know Cincinnati as the birthplace of pro baseball and America&rsquo;s chili capital. In the acquisition of highly specialized equipment for our new surgery center, The Urology Group is positioning the city for another exciting distinction -- the national and ultimately international go-to destination for the treatment of kidney stones.</p>
<p>
	The group has acquired from Siemens a diagnostic imaging system, and high tech equipment called a Lithoskop, that are one-of-a-kind in North America. Dr. Thorsten Bergsdorf, of Germany, visited Cincinnati in September to conduct training for physician members of our practice on the Lithoskop. As a result, we&rsquo;ll become a national training hub on the use of the technology, and ultimately we&rsquo;ll train physicians from around the world. I&rsquo;d like to note that Dr. Bergsdorf is a leader in this field of medicine.</p>
<p>
	Nearly 12 percent of men and 5 percent of women in the United States deal with kidney stones during their lives and many describe the ordeal as the worst pain they&#39;ve ever experienced. According to industry data, U.S. medical care for kidney stone removal and pain relief carries a $5.3 billion a year price tag.</p>
<p>
	Our center performs over 2000 lithotripsy treatments per year, more than any center in the country. This new machine provides better imaging of the stones and delivers more power to break up the stone than the machine we used previously, or other machines in the country.</p>
<p>
	Physicians within our group are very pleased that we can now offer patients dealing with kidney stone pain even better treatment!</p>
",2012/10/11/america-comes-to-cincinnati-to-relieve-life-s-worst-pain,2012-10-11 17:06:17,1,51
18,Everyone Pees,"Adult Americans who have celebrated the experience of raising toddlers at any point in the last 40 years likely are familiar with Everyone Poops, the children’s classic  from Taro Gomi about one of life’s more salient biological facts.","<p>
	Adult Americans who have celebrated the experience of raising toddlers at any point in the last 40 years likely are familiar with <em>Everyone Poops</em>, the children&rsquo;s classic from Taro Gomi about one of life&rsquo;s more salient biological facts.</p>
<p>
	A book geared to an entirely different stage in life might well be titled, Everyone Pees.</p>
<p>
	Upon opening that book, the question becomes, for some of us, how much do we pee? Or more to the point, how much is too much?</p>
<p>
	Perhaps it&rsquo;s best to illustrate the signs that a person is peeing too often by using a&nbsp; selection of everyday references. You&rsquo;re peeing too often if:</p>
<ul>
	<li>
		You know the location of every bathroom in the city&hellip;just in case</li>
	<li>
		You wake up tired because of so many night time trips to the bathroom</li>
	<li>
		You can&#39;t get through a movie without several trips to the toilet</li>
	<li>
		You&#39;re buying pads, but it&#39;s not that time of the month and you&#39;re too old for diapers</li>
</ul>
<p>
	These experiences may seem familiar, and even a bit funny. But it&rsquo;s wise to take bladder control issues &ndash; our own or those of our loved ones &ndash; seriously.</p>
<p>
	Here&rsquo;s another set of signals, expressed in doctor-speak. It&rsquo;s time to see a urologist:</p>
<ul>
	<li>
		If a person regularly voids more frequently than once every two hours</li>
	<li>
		If frequent urges to void are interfering with daily life, work or sleep</li>
	<li>
		If a person is bothered by wearing pads for urinary protection</li>
</ul>
<p>
	Sometimes friends or family notice before the patient does.&nbsp;Patients will tell their urologist, &ldquo;My friends or co-workers make fun of how often I go to the bathroom,&rdquo; or, &ldquo;My spouse can&#39;t sleep anymore because I&rsquo;m getting up so often and I keep her (or him) awake.&rdquo;</p>
<p>
	Here&rsquo;s a word to the wise for anyone challenged by bladder control issues &ndash; <strong>Interstim</strong>. Interstim therapy is a treatment option that uses mild electrical impulses to modulate the nerves that control the bladder and nerves that control the muscles related to urination.</p>
<p>
	A patient is a candidate for Interstim therapy if he or she has frequent, sometimes uncontrollable urges to void that are not responsive to conservative therapy such as medication or behavioral changes.&nbsp;</p>
<p>
	Interstim therapy also is indicated for urinary retention in the absence of obstruction. Additionally, Interstim is indicated for bowel control in patients with fecal incontinence that has not been responsive to conservative management with medication, diet and behavioral changes.</p>
<p>
	The good news is that Interstim can improve incontinence symptoms, frequency and urgency, by greater than 50 percent without the side effects of medication.</p>
",2013/01/16/everyone-pees,2013-01-16 07:12:21,1,80
