id,title,description,body,url,posted,visible
3,Senior Life Newspaper: Should You or a Loved One Have a Prostate Cancer Screening?,"Senior Life Newspaper article by Dr. Gary Kirsh
","<p>
	<a href=""/Media/254/11_1_11_SeniorLife_ProstateScreening_TUG.2.pdf"" target=""_blank"">Senior Life Newspaper article by Dr. Gary Kirsh</a></p>
",2011/11/01/should-you-or-a-loved-one-have-a-prostate-cancer-screening-,2011-11-01 16:08:02,1
10,WLW Radio: U.S. Task Force Prostate Screening Decision Debate,Dr. Gary Kirsh speaks with WLW's Bill Cunningham about the importance of prostate screenings,"<p>
	Dr. Gary Kirsh speaks with WLW&#39;s Bill Cunningham about the importance of prostate screenings, arguing against a statement issued by a U.S. task force.</p>
<p>
	<a href=""http://www.youtube.com/watch?v=bMtBBtlxhhk"" target=""_blank"">Click here to listen.&nbsp;</a></p>
<p>
	&nbsp;</p>
",2012/06/16/wlw-u-s-task-force-prostate-screening-decision-debate,2012-06-16 19:21:28,1
6,Channel 5: Prostate Cancer Screening on June 16 in Avondale,Jonathan Hawgood interviews Dr. Mark Delworth about free prostate cancer screening on June 16.,"<p>
	Jonathan Hawgood interviews Dr. Mark Delworth about free prostate cancer screening on June 16. <a href=""http://www.wlwt.com/Free-prostate-screenings/-/9838586/14755328/-/140pc2d/-/index.html"" target=""_blank"">Click here to view clip.</a></p>
",2012/06/15/channel-5-prostate-cancer-screening-on-june-16-in-avondale,2012-06-09 16:56:35,1
4,Channel 5: Prostate Cancer Screening Pros and Cons,Interview with Dr. Mark Delworth to discuss when to screen for prostate cancer. ,"<p>
	<br><br>Interview with Dr. Mark Delworth to discuss when to screen for prostate cancer.&nbsp;</p>
",2011/11/10/prostate-cancer-screening-pros-and-cons,2011-11-10 16:13:06,1
5,WLW Radio: Prostate Cancer Screening Debate,Bill Cunningham interviews Dr. Gary Kirsh on recent debate over prostate cancer screening. ,"<p>
	<br><br>Bill Cunningham interviews Dr. Gary Kirsh on recent debate over prostate cancer screening.&nbsp;</p>
",2011/10/31/wlw-radio-prostate-cancer-screening-debate,2011-10-31 17:36:02,1
2,Channel 12: Effectiveness of Treatments for Erectile Dysfunction,"Dr. Mark Delworth discusses medication for erectile dysfunction with Local 12 News in Cincinnati.
","<p>
	&nbsp;</p>
<div>
	Dr. Mark Delworth discusses medication for erectile dysfunction with Liz Bonis from Local 12 News in the station&#39;s &quot;Ask the Expert&quot; segment.&nbsp;</div>
<br />
<p>
	<a href=""http://www.youtube.com/watch?v=waetCK6LWHQ&amp;feature=youtu.be"">Watch the video on YouTube.</a></p>
",2012/05/03/channel-12-interview-with-dr-mark-delworth,2012-05-03 14:19:06,1
7,WDBZ: Importance of Prostate Screening for African American Men,Lincoln Ware interviews Dr. Jeff Zipkin about African American risk of prostate cancer,"<p>
	Lincoln Ware interviews Dr. Jeff Zipkin about the high incidence of prostate cancer among African Americans and announces a free cancer screening on Saturday, June 16, at Southern Baptist Church in Avondale. <a href=""http://youtu.be/3UT04PwVSio"" target=""_blank"">Click here to listen.&nbsp;</a></p>
",2012/06/15/wdbz-importance-of-prostate-screening-for-african-american-men,2012-06-14 17:21:28,1
1,Media Alert: Improving Lives Campaign Underway!,Improving Lives Campaign Features Series of Free Prostate Cancer Screenings for Tri-State Men in 2012,"<p>
	<br />
	<br />
	<strong>Improving Lives Campaign Features Series of Free Prostate Cancer Screenings for Tri-State Men in 2012</strong></p>
<p>
	<em>The Urology Group Offers First Free Screenings April 2 in Sharonville</em></p>
<p>
	CINCINNATI (March 21, 2012) &ndash; The Urology Group will provide a series of free prostate screenings under a community outreach program dedicated to fighting prostate cancer. The goal of the campaign is to increase the percentage of local men getting tested and raise awareness about the benefit of early detection throughout the tri-state.</p>
<p>
	The Cincinnati area&rsquo;s largest urological practice will conduct the first free screenings for men on April 2 from 10 a.m. to 3 p.m. at the Sharonville Convention Center, 11355 Chester Road. The screenings coincide with the Baby Boomer/Senior Expo. The second free-screening event will be part of the Santa Maria Community Health Fair on April 15 from 12 p.m. to 3 p.m. The location is the Price Hill Recreation Center, 959 Hawthorne Ave.</p>
<p>
	The privately conducted screenings are a painless 5-10 minute process consisting of a simple blood test and a brief prostate exam. Health insurance is not required.</p>
<p>
	The Urology Group&rsquo;s campaign will also feature a 5K Run/Walk for Prostate Cancer on Saturday, September 8, in Norwood. Community groups or other large organizations interested in partnering with The Urology Group on a free-screening event or to sponsor the 5K may email <a href=""mailto:Prostate5KCincy@Theurologygroup.net"">Prostate5KCincy@Theurologygroup.net</a>.</p>
<p>
	&ldquo;Early detection is critical to successfully treating prostate cancer. Urologists have seen a nearly 40% reduction in prostate cancer deaths since the mid-1990s when testing became commonplace for men over 50 and for higher risk men over 40,&rdquo; said Dr. Gary M. Kirsh, President of The Urology Group. &ldquo;The cure rate is extremely high when prostate cancer is detected early.&rdquo;</p>
<p>
	According to the American Cancer Society about 1 man in 6 will be diagnosed with prostate cancer during his lifetime and more than 28,000 will die from the disease each year. Prostate cancer is the second leading cause of cancer death in American men, behind only lung cancer.</p>
<p>
	More information about the free prostate cancer screening campaign, including times and locations of additional screening events throughout the year, will be posted on <a href=""http://www.freeprostatecincy.com/"">www.freeprostatecincy.com</a>.</p>
<br clear=""ALL"" />
<p>
	&nbsp;</p>
<p>
	<strong>About The Urology Group</strong></p>
<p>
	The Urology Group is one of the largest single specialty groups of urologists in the United States, with 35 physicians on staff. The Urology Group provides medical and surgical care for all diseases of the urinary tract in men and women and the genital tract of men. Headquartered in Cincinnati, Ohio, and opening a $20 million advanced care surgery facility in the summer of 2012, the group includes practices extending from Northern Kentucky to Middletown, Ohio, and from Southeastern Indiana to Adams County, Ohio.</p>
",2012/03/19/test-news-item,2012-03-21 12:17:25,1
11,Express Cincinnati: Oscar Robertson Signs on as Honorary Chairperson of 5K Race,Oscar is not only a Cincinnati sports legend but a prostate cancer survivor as well.,"<p>
	Oscar is not only a Cincinnati sports legend but a prostate cancer survivor as well.</p>
<p>
	<a href=""/Media/286/Prostate Race &amp; Oscar in Express.pdf"" target=""_blank"">See coverage</a></p>
",2012/07/05/express-cincinnati-oscar-robertson-signs-on-as-honorary-chairperson-of-5k-race,2012-07-05 19:55:52,1
12,Urologists in Cancer Care: The Urology Group: Balancing Expansion With Commitment to the Community,OncLive's Urologists in Cancer Care features The Urology Group in its June issue.,"<p>
	The week that Urologists in Cancer Care was scheduled to speak with members of The Urology Group in Cincinnati, Ohio was a hectic one. The American Urological Association (AUA) had just wrapped up its annual meeting, and urologists were contending with some bad news: The US Preventive Services Task Force (USPSTF) confirmed its recommendation against routine prostate cancer screening with prostate-specific antigen (PSA) testing.</p>
<p>
	<a href=""/Media/289/UrologistsinCancerCare.pdf"" target=""_blank"">Read more</a></p>
",2012/07/13/urologists-in-cancer-care-the-urology-group-balancing-expansion-with-commitment-to-the-community,2012-07-13 20:31:06,1
13,Cincinnati Enquirer: Urology Group poised for growth,The Urology Group is poised to expand its already substantial reach.,"<p>
	The Urology Group is poised to expand its already substantial reach with the impending opening of a $20-million, 55,000-square-foot headquarters that includes a $3.2 million investment in high-tech equipment from Siemens.</p>
<p>
	The Norwood-based business is among the largest independent groups of its kind in the country with more than 300 employees &ndash; including 35 physicians &ndash; and 13,000 cases handled annually at 19 locations. President Dr. Gary Kirsh estimates the group handles roughly 75 percent of services in its footprint, which stretches south to Lexington, west to Batesville, Ind., north to Middletown and east to Adams County.</p>
<p>
	It also expects to bring on additional employees.</p>
<p>
	<a href=""/Media/296/PoisedForGrowth.jpg"" target=""_blank"">See coverage</a></p>
",2012/07/30/cincinnati-enquirer-urology-group-poised-for-growth,2012-07-30 09:17:01,1
9,"Cincinnati Enquirer: ""Good Deeds"" Business section mentioned Adopt a Class",The Urology Group recognized for participation in Adopt a Class.,"<p>
	The Urology Group received recognition for staff participation in The Adopt a Class program. The group mentors sixth-graders and kindergartners at John P. Parker School in Madisonville for the past four years.&nbsp;</p>
<p>
	<a href=""/Media/280/AdoptAClass.pdf"" target=""_blank"">See coverage</a></p>
",2012/06/17/cincinnati-enquirer-good-deeds-business-section-mentioned-adopt-a-class,2012-06-17 19:37:26,1
43,"Cincinnati Enquirer Media ""Top Workplaces 2014""",Top Workplace for 2014,"<p>
	The Urology Group was recognized by Cincinnati Enquirer Media as a &quot;Top Workplace in Cincinnati 2014&quot; on June 15, 2014.&nbsp;</p>
<p>
	<img alt="""" src=""/Media/433/6_17_14 Enquirer Top Workplace_TUG.png"" style=""width: 400px;"" /></p>
<p>
	<a href=""http://www.cincinnati.com/story/money/2014/06/12/top-workplaces-cincinnati-list/10360885/"" target=""_blank"">Click to view full list.</a></p>
",2014/06/16/cincinnati-enquirer-media-top-workplaces-2014-,2014-06-16 11:46:26,1
60,WLW radio - Prostate Cancer Run,Dr. Gary Kirsh talks about 10k/5k run,"<p>
	Jim Scott of WLW interviews Dr. Gary Kirsh about the 2014 ZERO Prostate Cancer 10k/5k event. They also discuss prostate cancer facts and misconceptions.&nbsp;</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""//www.youtube.com/embed/tu_GuHIyyd4"" width=""560""></iframe></p>
",2014/09/05/wlw-radio-prostate-cancer-run,2014-09-05 13:45:24,1
62,Dr. Dusing Named Chief of Surgery,Cincinnati Enquirer:  Dusing named Chief of Surgery at St. Elizabeth,"<p>
	<img alt="""" src=""/Media/523/Dusing_Chief_Surgery_CincinnatiEnquirer2014.png"" /></p>
",2014/12/22/dr-dusing-named-chief-of-surgery,2014-12-22 12:45:49,1
14,Local 12 recaps the Great Prostate Cancer Challenge 5k Run/Walk,Local 12 recaps The Urology Group's $20M building dedication and Great Prostate Cancer Challenge 5k Run/Walk.,"<p>
	Local 12 recaps The Urology Group&#39;s $20M building dedication and Great Prostate Cancer Challenge 5k Run/Walk. Basketball legend and prostate cancer survivor Oscar Robertson spoke with Local 12 about prostate cancer.</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""http://www.youtube.com/embed/HcxGu2C5mmA?rel=0"" width=""420""></iframe></p>
",2012/09/17/local-12-covers-the-great-prostate-cancer-challenge-5k-run-walk,2012-09-17 15:40:27,1
15,Fox 19 covers The Urology Group's prostate cancer survivor breakfast and GPCC 5k,Fox 19 covers The Urology Group's prostate cancer survivor breakfast and Great Prostate Cancer Challenge 5k Run/Walk.,"<p>
	Fox 19 covers The Urology Group&#39;s prostate cancer survivor breakfast and Great Prostate Cancer Challenge 5k Run/Walk. Dr. Sanford (Sandy) Siegel, President and CEO of Chesapeake Urology Association, spoke with Fox 19 about prostate cancer.</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""http://www.youtube.com/embed/QWodfeeKQ20?rel=0"" width=""420""></iframe></p>
",2012/09/17/fox-19-covers-prostate-cancer-survivor-breakfast-and-gpcc-5k,2012-09-17 10:43:46,1
19,Channel 9: Movember Public Shaving Event,"Physicians from The Urology Group, family and friends gathered at Local's Sports Bar and Grill in downtown Cincinnati Thursday, November 29 to celebrate Movember.","<p>
	Physicians from The Urology Group, family and friends gathered at Local&#39;s Sports Bar and Grill in downtown Cincinnati Thursday, November 29 to celebrate Movember. A number of physicians had their facial hair shaved to mark the end of Movember, a month dedicated to raising awareness for men&#39;s health. Local&#39;s General Manager Mike Perrich also participated in the shaving. About $10,000 was raised for the men&#39;s health cause.<br />
	<br />
	&nbsp;</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""http://www.youtube.com/embed/eX0ta9qwK0A"" width=""420""></iframe></p>
",2012/11/30/channel-9-movember-public-shaving-event,2012-11-30 17:15:19,1
16,Movember: Dr. Delworth and Mike Perrich talk mustaches with the Fox 19 morning crew,The Urology Group's Dr. Mark Delworth and Local's Bar and Grill General Manager Mike Perrich speak with Fox 19's morning crew about Movember.,"<p>
	The Urology Group&#39;s Dr. Mark Delworth and Local&#39;s Bar and Grill General Manager Mike Perrich speak with Fox 19&#39;s morning crew about Movember, a month when individuals raise awareness and funds for men&#39;s health causes. Dr. Delworth and Perrich are growing mustaches to support and draw attention to the cause.<br />
	&nbsp;</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""360"" src=""http://www.youtube.com/embed/3DoMper19OA?rel=0"" width=""480""></iframe></p>
",2012/11/08/movember-dr-delworth-and-local-s-mike-perrich-talk-mustaches-with-the-fox-19-morning-crew,2012-11-03 10:39:29,1
17,Dr. Buffington and Local's Mike Perrich grow awareness about Movember on WCPO Channel 9,The Urology Group's Dr. Philip Buffington and Local's Bar and Grill General Manager Mike Perrich speak with WCPO Channel 9's morning crew about Movember.,"<p>
	The Urology Group&#39;s Dr. Philip Buffington and Local&#39;s Bar and Grill General Manager Mike Perrich speak with WCPO Channel 9&#39;s morning crew about Movember, a month when individuals raise awareness and funds for men&#39;s health causes. Dr. Buffington and Perrich are growing mustaches to support and draw attention to the cause.</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""360"" src=""http://www.youtube.com/embed/wlb4LYiW9UA?rel=0"" width=""480""></iframe></p>
",2012/11/04/movember-dr-buffington-and-local-s-mike-perrich-grow-awareness-about-men-s-health-on-wcpo-channel-9,2012-11-04 15:28:34,1
18,Dr. Bey shows off his mustache on Fox 19 to raise awareness about Movember,The Urology Group's Dr. Aaron Bey and Local's Bar and Grill General Manager Mike Perrich speak with Fox 19's morning crew about Movember.,"<p>
	The Urology Group&#39;s Dr. Aaron Bey and Local&#39;s Bar and Grill General Manager Mike Perrich speak with Fox 19&#39;s morning crew about Movember, a month when individuals raise awareness and funds for men&#39;s health causes. Dr. Bey and Perrich are growing mustaches to support and draw attention to the cause.</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""360"" src=""http://www.youtube.com/embed/7uP-6SvxT5I?rel=0"" width=""480""></iframe></p>
",2012/11/05/dr-bey-shows-off-his-mustache-on-fox-19-to-raise-awareness-about-movember,2012-11-05 16:35:17,1
20,Dr. Campbell discusses vasectomies on FOX19 ,"The Urology Group's Dr. Kevin Campbell discusses vasectomies with FOX19's Dan Wells on February 2, 2013.","<p>
	The Urology Group&#39;s Dr. Kevin Campbell discusses vasectomies with FOX19&#39;s Dan Wells on February 2, 2013.</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""http://www.youtube.com/embed/wYs-a8z2yKQ"" width=""420""></iframe></p>
",2013/02/05/dr-campbell-discusses-vasectomies-on-fox19-,2013-02-05 06:57:53,1
38,OncLive Magazine: The History of Integrated Practice,"Dr. Raoul Concepcion, Editor-in-Chief, credits The Urology Group for starting LUGPA","<p>
	<span style=""font-family: Helvetica; font-size: 12px;"">The Large Urology Group Practice Association (LUGPA) was the brainchild of key members of The</span><span style=""font-family: Helvetica; font-size: 12px;"">&nbsp;</span><span style=""font-family: Helvetica; font-size: 12px;"">Urology</span><span style=""font-family: Helvetica; font-size: 12px;"">&nbsp;Group in Cincinnati. Read <a href=""/Media/391/OncLive_History_Integrated_Practice.pdf"" target=""_blank"">more</a>.&nbsp;</span></p>
",2014/02/10/onclive-magazine-the-history-of-integrated-practice,2014-01-21 11:21:13,1
21,Fox 19: Dr. Schwartz on VasMadness ,The Urology Group's Dr. Robert Schwartz sits down to speak with Fox 19's Rob Williams about VasMadness.,"<p>
	The Urology Group&#39;s Dr. Robert Schwartz sits down to speak with Fox 19&#39;s Rob Williams about VasMadness &mdash; the tendency of men to schedule vasectomies during the month of March in order to watch NCAA basketball games during recovery.</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""http://www.youtube.com/embed/IUYU6ypkc58?rel=0"" width=""420""></iframe></p>
",2013/03/20/fox-19-dr-schwartz-talks-about-vasmadness-,2013-03-20 06:43:44,1
