id,media_id,title,posted,description
3,63,Improving Lives Campaign Features Series of Free Prostate Cancer Screenings for Tri-State Men in 2012,2012-03-21 09:00:00,The Urology Group Offers First Free Screenings April 2 in Sharonville
2,61,The Urology Group Extends Footprint into Middletown with Addition of Two Physicians,2011-12-11 09:00:00,"David Miller, MD, and Martin Walsh, MD, Join Greater Cincinnati's Largest Group of Urologists"
1,62,"The Urology Group Announces 14 Physicians Make Cincinnati's Magazine's Popular ""TopDoctors"" Issue",2012-01-17 09:00:00,Doctors at The Urology Group Comprise Two-Thirds of Overall List of Urologists 
8,299,ZERO: Great Prostate Cancer Challenge Comes to Cincinnati,2012-08-20 09:27:58,"Cincinnati, OH – Lace up your sneakers and join The Urology Group and ZERO — The End of Prostate Cancer on Saturday, September 8, for the sixth annual Great Prostate Cancer Challenge Cincinnati. The race is part of the Great Prostate Cancer Challenge, America’s premier men’s health event series, taking place in 34 cities in 2012."
7,297,"New study confirms PSA, early detection saves lives",2012-08-01 17:36:33,"TALLAHASSEE, Fla., Aug. 1, 2012 /PRNewswire via COMTEX/ -- The Large Urology Group Practice Association (LUGPA), representing more than 1,800 urologists, today applauded a newly released study confirming the impact of prostate-specific antigen (PSA) testing on the early detection of prostate cancer. "
6,288,The Urology Group LLC Pathology Laboratory Receives Accreditation From College of American Pathologists,2012-07-11 18:23:03,The Urology Group LLC Pathology Laboratory received accreditation and national recognition from the College of American Pathologists (CAP) for the excellence of services being provided.
21,575,The Urology Group Sends WWII Vets to Washington,2015-05-05 15:29:48,"Four local World War II veterans are traveling to Washington, D.C., on May 7-8 to join the national recognition of the 70th anniversary of V-E (Victory in Europe) Day. Many patients of The Urology Group are members of this age group  - “The Greatest Generation.” As a gesture of respect and tribute, The Urology Group has coordinated and underwritten all expenses for this trip. "
22,585,"The Urology Group One of 2015's ""Healthiest Employers""",2015-05-12 10:03:29,The Urology Group has been recognized as one of the 2015 Healthiest Employers of Greater Cincinnati through a program sponsored by the Cincinnati Business Courier. The award spotlights companies that have made a commitment to making wellness a reality for their employees.  
24,648,Community Event to Enhance Police Relations,2015-08-07 13:23:32,The Urology Group is proud to sponsor a community flag football game between Covington youth and local police and fire fighters.
23,636,Dr. Matthew R. Fulton Joins The Urology Group,2015-08-07 07:46:00,"Matthew R. Fulton, M.D., has joined The Urology Group, further expanding its resources and expertise for the Tri-State and bringing the staff total to 39 physicians. "
25,655,TriHealth Agreement with The Urology Group,2015-08-20 09:03:59,TriHealth and The Urology Group to Collaborate for Urological Patients Throughout the TriHealth System
26,667,Media Alert - 2015 Prostate Cancer Run,2015-09-11 08:28:56,"Saturday, September 12 is the 2015 ZERO Prostate Cancer 5k/10k. "
27,670,Dr. Miller Awarded Citizen of the Year Award,2015-09-15 10:24:47,"For his ongoing and extensive mission work, Dr. David Miller was presented with The Urology Group Physician Citizen of the Year award."
28,682,"Movember starts Mon., Nov. 2",2015-10-27 13:46:24,Join us for BLUE beer to kick off Movember at the Indian Mound Cafe.
19,943,Westermann Receives National Certification,2015-01-29 12:39:15,"Dr. Cynthia Westermann has joined a select group with the completion of her certification in the Advanced Practical Pathology Program in Prostate from the College of American Pathologists. 
"
15,951,The Urology Group Introduces CyberKnife® SBRT System for Prostate Cancer,2013-10-29 11:58:43,The Urology Group introduces a new and advanced radiation treatment for prostate cancer patients across greater Cincinnati with the launch of the CyberKnife® stereotactic body radiation therapy (SBRT) system.
13,948,MEDIA ALERT: Free Prostate Cancer Screening at Baby Boomer/Senior Expo,2013-04-09 12:45:51,The Urology Group will be providing free prostate screenings for men.
17,949,Kirsh Elected President of National Association,2014-10-23 11:23:37,"Dr. Gary Kirsh, president of The Urology Group, has been elected president of the Large Urology Group Practice Association (LUGPA), one of the largest national associations for urologists. "
14,953,ZERO Prostate Cancer Run Returns to Cincinnati,2013-08-22 08:11:23,"Event Grows in 7th Year, Adding 10K Route "
18,950,Dusing Named Chief of Surgery,2014-12-16 04:56:20,Dr. Michael Dusing was named Chief of Surgery at St. Elizabeth Healthcare for a two-year term. 
12,947,The Urology Group Adds New Physician,2013-02-05 08:45:56,"The Urology Group has hired Dr. Cynthia D. Westermann, an anatomic and clinical pathology specialist, adding to its staff of now 35 physicians."
11,946,The Urology Group Opens Second New Location in Past Year Northern Kentucky Offices Consolidated,2013-02-05 08:42:47,"The Urology Group is now serving its Northern Kentucky residents out of one, convenient location."
10,944,The Urology Group wins Norwood Outstanding Business Award,2012-12-07 17:04:15,"The Urology Group, along with several community companies, was recognized at Norwood Chamber of Commerce’s 2012 Business of the Year Awards luncheon."
